pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
1	Grupa dzieci bawi się na podwórku, a w tle stoi stary mężczyzna	Grupa chłopców na podwórku bawi się, a mężczyzna stoi w tle	4.5	NEUTRAL
2	W domu bawi się grupa dzieci, a w tle nie ma mężczyzny	Grupa dzieci bawi się na podwórku, a w tle stoi stary mężczyzna	3.2	NEUTRAL
3	Młodzi chłopcy bawią się na świeżym powietrzu, a mężczyzna uśmiecha się w pobliżu	Dzieci bawią się na świeżym powietrzu w pobliżu uśmiechniętego mężczyzny	4.7	ENTAILMENT
5	Dzieci bawią się na świeżym powietrzu w pobliżu uśmiechniętego mężczyzny	Grupa dzieci bawi się na podwórku, a w tle stoi stary mężczyzna	3.4	NEUTRAL
9	Młodzi chłopcy bawią się na świeżym powietrzu, a mężczyzna uśmiecha się w pobliżu	Grupa dzieci bawi się na podwórku, a w tle stoi stary mężczyzna	3.7	NEUTRAL
12	Dwa psy walczą	Dwa psy walczą i przytulają się	4	NEUTRAL
14	Brązowy pies atakuje inne zwierzę naprzeciwko mężczyzny w spodniach	Dwa psy walczą	3.5	NEUTRAL
18	Brązowy pies atakuje inne zwierzę naprzeciwko mężczyzny w spodniach	Dwa psy walczą i przytulają się	3.2	NEUTRAL
25	Nikt nie jedzie na rowerze na jednym kole	Osoba w czarnej kurtce robi sztuczki na motocyklu	2.8	NEUTRAL
26	Osoba jedzie na rowerze na jednym kole	Mężczyzna w czarnej kurtce robi sztuczki na motocyklu	3.7	NEUTRAL
28	Osoba na czarnym motocyklu robi sztuczki z kurtką	Osoba jedzie na rowerze na jednym kole	3.4	NEUTRAL
30	Mężczyzna z koszulką wrzuca piłkę na meczu koszykówki	Piłka jest wrzucana przez mężczyznę z koszulką na meczu koszykówki	4.9	ENTAILMENT
35	Mężczyzna z koszulką wrzuca piłkę na meczu koszykówki	Mężczyzna grający w koszykówkę wrzuca piłkę do siatki, a tłum jest w tle	3.6	NEUTRAL
40	Zawodnik wrzuca piłkę do siatki, a tłum jest w tle	Mężczyzna z koszulką wrzuca piłkę na meczu koszykówki	3.8	NEUTRAL
42	Dwie osoby uprawiają kickboxing, a widzowie nie oglądają	Dwie osoby uprawiają kickboxing, a widzowie oglądają	3.4	CONTRADICTION
44	Dwie młode kobiety walczą w walce kickboxingowej	Dwie kobiety w meczu walczą w meczu kickboxingowym	4.9	ENTAILMENT
45	Dwie młode kobiety nie biorą udziału w walce kickboxingowej	Dwie kobiety w meczu walczą w meczu kickboxingowym	3.9	NEUTRAL
47	Dwie osoby uprawiają kickboxing, a widzowie oglądają	Dwie młode kobiety nie biorą udziału w walce kickboxingowej	3.415	NEUTRAL
49	Dwie kobiety w meczu walczą w meczu kickboxingowym	Dwie osoby uprawiają kickboxing, a widzowie nie oglądają	3.7	NEUTRAL
55	Trzech chłopców skacze na liściach	Troje dzieci skacze w liściach	4.4	ENTAILMENT
56	Troje dzieci siedzi w liściach	Troje dzieci skacze w liściach	3.8	NEUTRAL
58	Dzieciaki w czerwonych koszulkach bawią się w liściach	Troje dzieci siedzi w liściach	3.5	NEUTRAL
62	Dzieciaki w czerwonych koszulkach bawią się w liściach	Troje dzieci skacze w liściach	4	NEUTRAL
65	Dwóch aniołów robi śnieg na leżących dzieciach	Dwoje dzieci leży na śniegu i robi śnieżne aniołki	2.9	NEUTRAL
70	Dwoje dzieci leży na śniegu i rysuje aniołki	Dwie osoby w kombinezonach narciaskich leżą na śniegu i robią anioły śnieżne	4.1	NEUTRAL
