pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
7	Mężczyzna w sportowych spodenkach biegnie po bieżni .	Dziewczynka w białej sukience stoi przed ogrodzoną fontanną .	0.17	NEUTRAL
8	Mężczyzna w sportowym stroju stoi na ugiętej nodze na boisku , drugą nogę wystawiając do tyłu .	Żaden chłopak nie stoi na trawie , trzymając piłkę .	1.33	NEUTRAL
15	Nikt nie zbiega po trawie z wysokiej górki .	Troje dzieci zbiega po trawiastym zboczu .	3.33	CONTRADICTION
20	Przechodzący przed budynkiem mężczyzna w garniturze obserwuje skok młodego człowieka z deskorolką .	Młody człowiek w pasiastych spodniach , który ma kolorowy tatuaż w okolicy żeber , jedzie na deskorolce z rękami , które są uniesione .	1.67	NEUTRAL
21	Dziecko wykonuje skok na deskorolce na moście .	Człowiek w zimowym stroju wykonuje skok na snowboardzie nad śniegiem w pobliżu wyciągu narciarskiego .	1.5	NEUTRAL
24	Chłopiec w czepku i kostiumie kąpielowym klęczy na fontannie .	Nikt nie klęczy na fontannie .	3.33	CONTRADICTION
32	Małe dziecko jest stawiane na plaży na deskorolce przez kobietę .	Chłopak jedzie na deskorolce po niskiej poprzeczce , trzymając ręce w górze .	1.67	NEUTRAL
59	Dwaj chłopcy i jedna dziewczynka chodzą po kamieniach w pobliżu zbiornika wodnego .	Trzy osoby w kaskach siedzą na quadach obok siebie .	0.5	NEUTRAL
103	Chłopiec w czepku i kostiumie kąpielowym klęczy na fontannie .	Chłopak w kamizelce i niebieskich spodenkach stoi na wodzie na desce , trzymając się jedną ręką linki .	0.67	NEUTRAL
156	Jasnowłosa dziewczynka wydmuchuje bańki mydlane przez kółko , które podstawia jej chłopiec .	Bańki mydlane są puszczane przez dziewczynkę w sukience na trawie , a za nią stoi druga dziewczynka .	2.5	NEUTRAL
157	Mężczyzna w sportowym stroju z numerem biegnie po ulicy .	Dwie osoby przyglądają się biegnącemu mężczyźnie z przyklejonym numerem do klatki piersiowej .	3.0	NEUTRAL
189	Dziewczynka w kostiumie kąpielowym i czepku siedzi , patrząc w dół .	Dziewczynka w czarnej bluzie stoi na różowej deskorolce .	0.67	NEUTRAL
208	Dwoje dzieci w czerwonych koszulkach bawi się w stercie liści , a kolejne dwoje dzieci biegnie w ich stronę .	Chłopiec biegnie w kierunku dwóch innych chłopców , którzy bawią się przy stosie pożółkłych liści .	3.33	NEUTRAL
210	Dziewczynka i chłopiec z kapturem na głowie biegną razem w kierunku pryskającej wody .	Dziewczynka i chłopiec z rękawkami do pływania biegną razem w kierunku pryskającej wody .	3.33	NEUTRAL
219	Dziecko w czerwonej kurtce trzyma w rękach grudę śniegu .	Gruda śniegu jest trzymana w rękach przez dziecko w czerwonej kurtce .	5.0	ENTAILMENT
222	Na boisku jeden mężczyzna w sportowym stroju trzyma piłkę , a drugi mężczyzna , ubrany w inne barwy , łapie go za nogę .	Piłka jest odbijana kijem baseballowym przez chłopca w czerwonym kasku .	0.67	NEUTRAL
258	Dziewczynki w kolorowych strojach i chustach na głowach stoją w dużej grupie .	Dziewczynka i chłopiec pochylają się pod barierką , patrząc w dół .	0.5	NEUTRAL
265	Dziewczynka idzie .	Radosna , mała dziewczynka w jasnej sukience biegnie po trawie .	1.5	NEUTRAL
277	Młody chłopak wykonuje skok z deskorolką nad schodami .	Dziewczynka o jasnych włosach nie stoi na różowej deskorolce .	1.67	NEUTRAL
294	Dziecko w pomarańczowej kurtce z kapturem na głowie trzyma w rękach bryłę śniegu .	Dziecko trzyma bryłę .	3.0	NEUTRAL
305	Mężczyzna z torbą i dużą teczką jedzie na deskorolce obok barierki , za którą znajduje się tor dla pojazdów .	Mężczyzna o długich włosach z torbami na ramionach jedzie na deskorolce po chodniku .	2.17	NEUTRAL
321	Dziewczynka w różowej bluzce leży na trawie z założonymi za głowę rękami .	Dziewczynka w różowej bluzce leży na trawie z rękami , które są założone za głowę .	5.0	ENTAILMENT
323	Jasnowłosa dziewczynka w sukience w kwiaty stoi na łące .	Chłopiec klęczy .	0.0	NEUTRAL
333	Zawodnik na boisku ze skórzaną rękawicą robi wykrok w przód na piasku .	Chłopak w czerwonych butach stoi na boisku z uniesionym kijem baseballowym .	1.5	NEUTRAL
361	Chłopak w kolorowych spodenkach odbija ręką piłkę siatkową .	Człowiek na deskorolce przeskakuje nad niebieską beczką ustawioną na wzniesieniu .	0.33	NEUTRAL
370	Na boisku jeden mężczyzna w sportowym stroju trzyma piłkę , a drugi mężczyzna , ubrany w inne barwy , łapie go za nogę .	Żadni zawodnicy nie przepychają się między sobą na boisku w trakcie meczu .	2.67	NEUTRAL
373	Człowiek , który jest obserwowany przez mężczyznę w garniturze , skacze ze schodów na deskorolce .	Mężczyzna w bluzce w paski niesie deskorolkę , idąc po chodniku z płytkami w kształcie gwiazd .	1.0	NEUTRAL
385	Dziewczynka stoi .	Dziewczynka w czarnej bluzie stoi na różowej deskorolce .	3.17	ENTAILMENT
416	Kilka osób biegnie po torach wyrysowanych żółtymi liniami na trawie .	Kilka osób biegnie po torach , które są wyrysowane żółtymi liniami na trawie .	5.0	ENTAILMENT
440	Na boisku trzech piłkarzy podskakuje do piłki podczas meczu .	Chłopiec trzyma duży , niebieski parasol i uśmiecha się .	0.0	NEUTRAL
445	Człowiek w kasku i sportowym stroju biegnie po trawie , trzymając piłkę .	Piłka jest odbijana kijem baseballowym przez chłopca w czerwonym kasku .	2.17	NEUTRAL
446	Zawodnik na boisku ze skórzaną rękawicą robi wykrok w przód na piasku .	Wykrok w przód jest robiony na piasku na boisku przez zawodnika ze skórzaną rękawicą .	5.0	ENTAILMENT
450	Dwaj chłopcy nie biegną po trawie w słoneczny dzień .	Dwóch chłopców biegnie po trawniku w kierunku trzeciego .	2.83	NEUTRAL
452	Snowboardzista wykonuje skok na śniegu .	Kobieta w sportowym stroju i słuchawkach biegnie po chodniku .	0.33	NEUTRAL
463	Osoba stoi .	Dziewczynka patrzy przez zabawkowe okulary z przytwierdzonym dużym nosem .	0.5	NEUTRAL
482	Chłopiec i dziewczynka w strojach kąpielowych i rękawkach , które są dmuchane , biegną boso po chodniku , który jest polewany wodą .	Chłopiec i dziewczynka w strojach kąpielowych i dmuchanych rękawkach biegną boso po chodniku polewanym wodą .	5.0	ENTAILMENT
495	Kobieta stojąca za ogrodzeniem obserwuje rozgrywający się na boisku mecz baseballowy .	Nikt nie gra w baseball na boisku .	3.17	CONTRADICTION
499	Dziewczynka w fioletowej koszulce leży na trawie z rękami pod głową .	Dziewczynka leży .	3.33	NEUTRAL
517	Zawodnik w kasku ochronnym biegnie po trawie z podłużną piłką w ręce .	Zawodnik biegnie po trawie z podłużną piłką w ręce .	3.83	NEUTRAL
547	Mężczyzna w okularach przeciwsłonecznych stoi na trawie , trzymając w rękach podłużną piłkę .	Chłopak w spodenkach , klapkach i okularach przeciwsłonecznych stoi na trawie , trzymając piłkę .	3.17	NEUTRAL
568	Kobieta z kolczykiem w okolicy pępka biegnie z numerem startowym na biodrach .	Czarny byk biegnie w maratonie .	0.67	NEUTRAL
573	Dwoje ciemnoskórych dzieci biega w pobliżu wody .	Dwoje ciemnoskórych dzieci biega po piasku .	3.83	NEUTRAL
599	Chłopiec siedzi , a drugi chłopiec przewraca się .	Chłopiec w szlafroku stoi obok choinki , trzymając miecz świetlny , a na podłodze leżą porozrywane papiery do pakowania prezentów .	0.83	NEUTRAL
610	Dziewczynka siedzi na ramionach mężczyzny , trzymając w rękach wiatraczek .	Dziewczynka w okularach ze sztucznym nosem i brwiami uśmiecha się .	1.0	NEUTRAL
614	Chłopiec w czerwonym kasku odbija piłkę kijem baseballowym .	Człowiek w sportowym stroju i kasku biegnie na boisku .	2.0	NEUTRAL
629	Mężczyzna w sportowym stroju i kasku biegnie po boisku z piłką w ręku , a dalej biegnie drugi mężczyzna w bluzce w paski .	Mężczyzna w sportowym stroju i kasku biegnie po boisku z piłką w rozłożonych rękach , a dalej biegnie drugi mężczyzna w bluzce w paski .	4.17	ENTAILMENT
642	Człowiek w kasku i sportowym stroju biegnie po trawie , trzymając piłkę .	Człowiek w kasku i gimnastycznym stroju biegnie po trawie , trzymając piłkę .	4.33	ENTAILMENT
647	Nikt nie biegnie po ulicy .	Mężczyzna w sportowym stroju z numerem biegnie po ulicy .	3.0	CONTRADICTION
663	Skośnooka dziewczyna siedzi na grzbiecie siwego mężczyzny , trzymając w rękach kolorowy wiatrak .	Dziewczynka siedzi na ramionach mężczyzny , trzymając w rękach wiatraczek .	3.5	NEUTRAL
