pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
4	Młodzi chłopcy bawią się na świeżym powietrzu, a mężczyzna uśmiecha się w pobliżu	Nie ma chłopca bawiącego się na świeżym powietrzu i nie ma uśmiechniętego mężczyzny	3.6	CONTRADICTION
24	Osoba w czarnej kurtce robi sztuczki na motocyklu	Wykwalifikowana osoba jedzie na rowerze na jednym kole	3.4	NEUTRAL
105	Czworo dzieci robi mostek na siłowni	Cztery dziewczynki robią mostek i bawią się na świeżym powietrzu	3.8	NEUTRAL
116	Zawodnik rzuca piłką	W meczu piłki nożnej rywalizują dwie drużyny	2.9	NEUTRAL
119	Pięcioro dzieci stoi przed drewnianą chatką	Pięcioro dzieci stoi w drewnianej chacie	4.2	NEUTRAL
185	Niewiele osób je przy czerwonych stołach w restauracji bez oświetlenia	Duża grupa ludzi azjatów je w restauracji	2.6	NEUTRAL
197	Ktoś jest na czarno-białym motocyklu i stoi na siedzeniu	Motocykl jedzie wstaje z siedzenia pojazdu	3.165	NEUTRAL
211	Dwa psy bawią się przy drzewie	Dwa psy bawią się przy roślinie	4.6	ENTAILMENT
218	Dziewczynka w bieli tańczy	Dziewczynka ma na sobie białe ubranie i tańczy	4.9	ENTAILMENT
219	Nie ma tańczącej dziewczynki w białym	Dziewczynka w bieli tańczy	4.2	CONTRADICTION
225	Sprzęt przed tańczącą blondynką jest nagłaśniający	Dziewczynka w bieli tańczy	2.7	NEUTRAL
228	Dziewczynka w bieli tańczy	Blondynka tańczy przed sprzętem nagłaśniającym	3.3	NEUTRAL
236	Dzieci z rodziny bawią się i czekają	Azjatycki mężczyzna tańczy, a troje dzieci obserwuje	1.9	NEUTRAL
253	Turysta jest na szczycie góry i tańczy radośnie	Turysta jest na szczycie góry i tańczy	4.7	ENTAILMENT
280	Chłopiec stoi na zewnątrz wody	Chłopiec błądzi po niebieskim oceanie	3.135	NEUTRAL
285	Łysa osoba gra na gitarze	Osoba ma rozczochrane blond włosy i gra na gitarze	3.9	NEUTRAL
304	Stara, naga kobieta jest pokryta farbą	Młoda, naga kobieta jest pokryta farbą	3.8	NEUTRAL
317	Grupa dzieci w mundurach stoi przy bramie i nikt nie całuje matki	Tłum ludzi jest blisko wody	1.3	NEUTRAL
382	Przez wysoką trawę biegnie brązowo biały pies	Brązowo biały pies porusza się po dzikiej trawie	4.4	NEUTRAL
384	Przez wysoką i zieloną trawę biegnie biało brązowawy pies	Przez pole biegnie biało brązowawy pies	4.35	ENTAILMENT
394	Mężczyzna siedzi w pobliżu roweru i pisze notatkę	Mężczyzna stoi w pobliżu roweru i pisze na kartce papieru	3.6	NEUTRAL
402	Grupa harcerzy wędruje po trawie	Grupa odkrywców idzie po trawie	4.1	NEUTRAL
417	Dwóch mężczyzn odpoczywa na zaśnieżonej drodze	Dwóch mężczyzn z samochodami stoi na poboczu zaśnieżonej drogi	4	NEUTRAL
450	Kobieta surfuje i płynie na fali	Blondynka patrzy na fale	3.3	NEUTRAL
520	Kobieta ubrana w srebrne majtki, różowe dzwony i różową chustę jedzie na rowerze	Różowe dzwony i różowa chusta nie mogą być noszone przez kobiety z srebrnymi majtkami lub rowerzystki	3.3	NEUTRAL
526	Kobieta ubrana w srebrne majtki, różowe dzwony i różową chustę jedzie na rowerze	Piesza kobieta buduje różowe rowery dla rowerzystów noszących szale	2.4	NEUTRAL
530	Rowerzysta ma ubranie w kolorze czarnym	Motocyklista ubrany na czarno łamie koła zębate	3.1	NEUTRAL
