pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
1	Chłopiec w czerwonych trampkach skacze wysoko do góry nieopodal fontanny .	Chłopiec w bluzce w paski podskakuje wysoko obok brązowej fontanny .	3.0	NEUTRAL
2	Dziecko w niebieskiej czapce i szaliku zjeżdża na plastikowych saniach po zmierzchu .	Mężczyzna jedzie skuterem .	0.33	NEUTRAL
3	Mężczyzna grający na gitarze siedzi obok małej dziewczynki leżącej na szpitalnym łóżku .	Nikt nie gra na gitarze w szpitalu obok łóżka .	2.33	NEUTRAL
4	Jedna sarna stoi na śniegu i patrzy w bok na chodzące tam perliczki , a druga sarna stoi obok z pochyloną głową .	Jedna sarna stoi i patrzy na perliczki , a druga sarna stoi .	3.5	NEUTRAL
5	Pies przebiega po trawie obok stada brązowych krów .	Pies biegnie po trawie , a dalej stoją brązowe krowy .	4.83	ENTAILMENT
6	Na strzelnicy dziewczyna w różowej koszulce i ochraniaczach na uszy strzela z pistoletu do tarczy z kształtem człowieka .	Mężczyzna z prawą nogą w gipsie siedzi na wózku prowadzonym po chodniku przez kobietę w koszuli .	0.17	NEUTRAL
9	Mężczyzna z wędką , który jest zwrócony w kierunku falującego morza , stoi .	Dziewczynka wskazuje palcami na złowioną przez chłopca dużą rybę .	0.83	NEUTRAL
10	Żaden mężczyzna nie stoi na przystanku autobusowym .	Mężczyzna z żółtą i białą reklamówką w ręce stoi na przystanku obok autobusu .	3.17	CONTRADICTION
11	Troje dzieci w niebieskich koszulkach i dżinsach huśta się obok siebie na huśtawce .	Dwie uśmiechnięte dziewczyny i jeden chłopiec bujają się na huśtawkach obok siebie .	3.67	NEUTRAL
12	Dwie dziewczynki i chłopiec skaczą do basenu , wyciągając ręce do góry .	Mężczyzna w kapeluszu siedzi z gitarą na trybunie nad wodą .	0.33	NEUTRAL
13	Mały chłopiec kuca , trzymając za ogon dużego , sztucznego krokodyla .	Chłopiec trzyma za ogon krokodyla z otwartą paszczą .	3.0	NEUTRAL
14	Duży ptak o długich nogach i długiej szyi stoi w wodzie .	Czworo dzieci w strojach kąpielowych skacze do basenu .	0.5	NEUTRAL
16	Dwie kobiety z kijami do hokeja przepychają się w pobliżu piłki na hali .	Dwóch młodych chłopaków gra w hokeja na trawie .	2.0	NEUTRAL
19	Chłopiec w niebieskiej czapce biega po chodniku wśród dużej ilości gołębi , niedaleko stojącego mężczyzny .	Chłopiec biegnie na placu wśród gołębi , a dalej stoi mężczyzna z plastikową torbą .	3.33	NEUTRAL
22	Chłopiec z różowym kołem pływa w basenie z innymi dziećmi .	Uśmiechnięta dziewczynka w różowym stroju pływa w basenie .	1.83	NEUTRAL
25	Młoda kobieta wspina się po gładkiej skale .	Człowiek z długimi włosami wisi nad trawą na gałęzi drzewa głową w dół .	0.67	NEUTRAL
26	Człowiek w zimowym stroju wykonuje skok na snowboardzie nad śniegiem .	Czterech mężczyzn z długimi włosami siedzi obok siebie na murku .	0.33	NEUTRAL
27	Siedem osób podskakuje wysoko na pomoście .	Dwa czarne psy nie wskakują do basenu , w którym pływa gumowa zabawka .	0.17	NEUTRAL
29	W pomieszczeniu znajdują się dwaj mężczyźni , a jeden z nich śpiewa do mikrofonu .	Dziewczyna grająca na trąbce idzie po trawie w towarzystwie innych osób .	0.33	NEUTRAL
30	Kobieta w czarnym sportowym stroju odbija się do skoku o tyczce .	Kobieta w czarnym sportowym stroju nie odbija się do skoku o tyczce .	3.33	CONTRADICTION
31	Mały chłopiec kuca , trzymając za ogon dużego , sztucznego krokodyla .	Mały chłopiec kuca , trzymając za ogon sztucznego krokodyla .	4.33	NEUTRAL
33	Dziecko siedzące na huśtawce uśmiecha się do stojącej obok kobiety .	Dziecko huśta się na huśtawce i patrzy na stojącą obok kobietę w zielonej kurtce .	3.67	NEUTRAL
34	Mężczyzna w kasku jedzie na motorze z przyczepą , na której siedzi pies w okularach .	Mężczyzna jedzie motocyklem wraz z psem w okularach , który siedzi w bocznym wózku .	4.0	ENTAILMENT
35	Skulony kot na chodniku wyciąga łapkę przed siebie .	Łapa jest lizana na chodniku przez pręgowanego kota .	3.0	NEUTRAL
36	Przewrócony na piasku motor jest obserwowany przez mężczyznę w kurtce odblaskowej .	Człowiek w kasku jedzie motorem po piaszczystym terenie , pozostawiając za sobą tuman kurzu .	2.0	NEUTRAL
37	Osoba w kasku wspina się po piachu , pchając motor , wspomagana przez drugiego człowieka .	Człowiek w kapeluszu , obserwowany przez widownię , wykonuje akrobacje na galopującym koniu .	0.17	NEUTRAL
38	Dziewczyna w czarnym stroju z czerwonym pasem stoi w rozkroku , zaciskając jednocześnie pięści .	Dziewczyna w czerwonym stroju z czerwonym pasem stoi w rozkroku , zaciskając jednocześnie pięści .	3.83	CONTRADICTION
39	Mała dziewczynka w stroju gimnastycznym stoi na równoważni .	Dziewczynka o jasnych włosach w różowo - granatowym stroju stoi na równoważni asekurowana przez drugą osobę .	2.67	NEUTRAL
41	Ciemnoskóra uśmiechnięta dziewczynka skacze do basenu z trampoliny .	Dziecko w niebiesko - zielonym stroju skacze z trampoliny głową w dół do wody .	3.17	NEUTRAL
42	Człowiek w kasku zjeżdża na snowboardzie na siedząco .	Człowiek w kasku zjeżdża na snowboardzie po barierce od schodów .	3.33	NEUTRAL
43	Kobieta podrzuca małe dziecko nad brzegiem wody .	Małe dziecko jest podrzucane do góry przez kobietę w białym swetrze .	3.33	NEUTRAL
44	Mężczyzna prowadzi konia pociągowego z wozem wzdłuż muru .	Dwie osoby skaczą nad śniegiem na deskach snowboardowych w pobliżu drewnianych budynków .	0.0	NEUTRAL
45	Mężczyzna robi zdjęcie drugiemu mężczyźnie , który stoi pośród kobiet w ozdobnych sukniach z pióropuszami na głowach .	Kilkoro dzieci buja się jednocześnie na dużej huśtawce .	0.0	NEUTRAL
46	Mężczyzna gra na czerwonym flecie , a drugi gra na różowej gitarze .	Kobieta gra na gitarze i śpiewa na siedząco .	1.5	NEUTRAL
47	Kobieta w kapeluszu siedzi na krzesełku na skraju urwiska .	Chłopiec w czapce z daszkiem i kolorowej koszulce trzyma w rękach wędkę .	0.17	NEUTRAL
48	Kobieta z rakietą tenisową patrzy ku górze z ręką , która jest uniesiona wysoko .	Kobieta z rakietą tenisową patrzy ku górze z uniesioną wysoko ręką .	5.0	ENTAILMENT
49	Trzech mężczyzn płynie łodzią .	Trzech mężczyzn płynie łodzią motorową po wodzie w pobliżu budynków .	3.5	ENTAILMENT
50	Dziecko w brązowej czapeczce buja się z zamkniętymi oczami na huśtawce .	Człowiek w niebieskim kasku stoi w pobliżu dwóch skaczących ze skoczni osób .	0.0	NEUTRAL
51	Chłopiec i dziewczynka w strojach kąpielowych i dmuchanych rękawkach biegną boso po chodniku polewanym wodą .	Człowiek w kasku i sportowym stroju zjeżdża na nartach po stoku .	0.33	NEUTRAL
53	Pies z kokardą na szyi przebywa blisko małej dziewczynki .	Pies o biszkoptowym kolorze przebywa blisko małej dziewczynki .	3.33	NEUTRAL
54	Trzech piłkarzy znajduje się w okolicach bramki .	Trzech piłkarzy podskakuje na boisku , zderzając się ze sobą .	2.33	NEUTRAL
